Track,for,Otto,2016,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
11/20/2016,17:53:59,11.086,N,79.709,W
11/20/2016,17:55:59,11.091,N,79.706,W
11/20/2016,17:58:00,11.095,N,79.703,W
11/20/2016,18:00:00,11.1,N,79.7,W
11/20/2016,18:01:59,11.105,N,79.697,W
11/20/2016,18:04:00,11.109,N,79.694,W
11/20/2016,18:06:00,11.114,N,79.691,W
11/20/2016,18:07:59,11.118,N,79.688,W
11/20/2016,18:09:59,11.122,N,79.684,W
11/20/2016,18:12:00,11.127,N,79.681,W
11/20/2016,18:14:00,11.131,N,79.678,W
11/20/2016,18:15:59,11.136,N,79.675,W
11/20/2016,18:17:59,11.14,N,79.672,W
11/20/2016,18:20:00,11.145,N,79.669,W
11/20/2016,18:22:00,11.149,N,79.666,W
11/20/2016,18:23:59,11.153,N,79.663,W
11/20/2016,18:25:59,11.157,N,79.66,W
11/20/2016,18:28:00,11.161,N,79.657,W
11/20/2016,18:30:00,11.166,N,79.654,W
11/20/2016,18:31:59,11.17,N,79.651,W
11/20/2016,18:34:00,11.174,N,79.648,W
11/20/2016,18:36:00,11.178,N,79.646,W
11/20/2016,18:37:59,11.181,N,79.643,W
11/20/2016,18:39:59,11.185,N,79.64,W
11/20/2016,18:42:00,11.189,N,79.637,W
11/20/2016,18:44:00,11.193,N,79.635,W
11/20/2016,18:45:59,11.196,N,79.632,W
11/20/2016,18:47:59,11.2,N,79.629,W
11/20/2016,18:50:00,11.203,N,79.627,W
11/20/2016,18:52:00,11.206,N,79.624,W
11/20/2016,18:53:59,11.209,N,79.622,W
11/20/2016,18:55:59,11.212,N,79.619,W
11/20/2016,18:58:00,11.215,N,79.617,W
11/20/2016,19:00:00,11.218,N,79.615,W
11/20/2016,19:01:59,11.221,N,79.613,W
11/20/2016,19:04:00,11.224,N,79.61,W
11/20/2016,19:06:00,11.226,N,79.608,W
11/20/2016,19:07:59,11.228,N,79.606,W
11/20/2016,19:09:59,11.231,N,79.604,W
11/20/2016,19:12:00,11.233,N,79.602,W
11/20/2016,19:14:00,11.235,N,79.6,W
11/20/2016,19:15:59,11.237,N,79.598,W
11/20/2016,19:17:59,11.238,N,79.597,W
11/20/2016,19:20:00,11.24,N,79.595,W
11/20/2016,19:22:00,11.241,N,79.593,W
11/20/2016,19:23:59,11.242,N,79.592,W
11/20/2016,19:25:59,11.243,N,79.59,W
11/20/2016,19:28:00,11.244,N,79.589,W
11/20/2016,19:30:00,11.245,N,79.588,W
11/20/2016,19:31:59,11.246,N,79.587,W
11/20/2016,19:34:00,11.246,N,79.585,W
11/20/2016,19:36:00,11.246,N,79.584,W
11/20/2016,19:37:59,11.246,N,79.584,W
11/20/2016,19:39:59,11.246,N,79.583,W
11/20/2016,19:42:00,11.246,N,79.582,W
11/20/2016,19:44:00,11.245,N,79.581,W
11/20/2016,19:45:59,11.244,N,79.581,W
11/20/2016,19:47:59,11.243,N,79.58,W
11/20/2016,19:50:00,11.242,N,79.58,W
11/20/2016,19:52:00,11.241,N,79.58,W
11/20/2016,19:53:59,11.239,N,79.579,W
11/20/2016,19:55:59,11.237,N,79.579,W
11/20/2016,19:58:00,11.235,N,79.58,W
11/20/2016,20:00:00,11.233,N,79.58,W
11/20/2016,20:01:59,11.231,N,79.58,W
11/20/2016,20:04:00,11.228,N,79.58,W
11/20/2016,20:06:00,11.225,N,79.581,W
11/20/2016,20:07:59,11.222,N,79.581,W
11/20/2016,20:09:59,11.218,N,79.582,W
11/20/2016,20:12:00,11.214,N,79.583,W
11/20/2016,20:14:00,11.211,N,79.584,W
11/20/2016,20:15:40,11.207,N,79.585,W
11/20/2016,20:17:40,11.206,N,79.584,W
11/20/2016,20:19:41,11.205,N,79.584,W
11/20/2016,20:21:41,11.205,N,79.583,W
11/20/2016,20:23:40,11.204,N,79.583,W
11/20/2016,20:25:40,11.203,N,79.582,W
11/20/2016,20:27:41,11.202,N,79.581,W
11/20/2016,20:29:41,11.202,N,79.581,W
11/20/2016,20:31:40,11.201,N,79.58,W
11/20/2016,20:33:40,11.2,N,79.58,W
11/20/2016,20:35:41,11.2,N,79.579,W
11/20/2016,20:37:41,11.199,N,79.578,W
11/20/2016,20:39:40,11.198,N,79.578,W
11/20/2016,20:41:41,11.198,N,79.577,W
11/20/2016,20:43:41,11.197,N,79.576,W
11/20/2016,20:45:40,11.197,N,79.575,W
11/20/2016,20:47:40,11.196,N,79.575,W
11/20/2016,20:49:41,11.195,N,79.574,W
11/20/2016,20:51:41,11.195,N,79.573,W
11/20/2016,20:53:40,11.194,N,79.572,W
11/20/2016,20:55:40,11.194,N,79.572,W
11/20/2016,20:57:41,11.194,N,79.571,W
11/20/2016,20:59:41,11.193,N,79.57,W
11/20/2016,21:01:40,11.193,N,79.569,W
11/20/2016,21:03:40,11.192,N,79.568,W
11/20/2016,21:05:41,11.192,N,79.567,W
11/20/2016,21:07:41,11.192,N,79.566,W
11/20/2016,21:09:40,11.191,N,79.566,W
11/20/2016,21:11:41,11.191,N,79.565,W
11/20/2016,21:13:41,11.191,N,79.564,W
11/20/2016,21:15:40,11.191,N,79.563,W
11/20/2016,21:17:40,11.191,N,79.562,W
11/20/2016,21:19:41,11.19,N,79.561,W
11/20/2016,21:21:41,11.19,N,79.56,W
11/20/2016,21:23:40,11.19,N,79.559,W
11/20/2016,21:25:40,11.19,N,79.558,W
11/20/2016,21:27:41,11.19,N,79.557,W
11/20/2016,21:29:41,11.19,N,79.555,W
11/20/2016,21:31:40,11.19,N,79.554,W
11/20/2016,21:33:40,11.19,N,79.553,W
11/20/2016,21:35:41,11.19,N,79.552,W
11/20/2016,21:37:41,11.19,N,79.551,W
11/20/2016,21:39:40,11.19,N,79.55,W
11/20/2016,21:41:41,11.191,N,79.548,W
11/20/2016,21:43:41,11.191,N,79.547,W
11/20/2016,21:45:40,11.191,N,79.546,W
11/20/2016,21:47:40,11.191,N,79.545,W
11/20/2016,21:49:41,11.192,N,79.543,W
11/20/2016,21:51:41,11.192,N,79.542,W
11/20/2016,21:53:40,11.192,N,79.541,W
